Coffee name,Location,Open,Close,Coffee,WiFi,Power
Cafe Kafka,https://maps.app.goo.gl/AK8zFZTeJPg4vzxq9,9 AM,10 PM,☕☕☕,💪💪💪,🔌🔌
Restauracja Słoik,https://maps.app.goo.gl/eEh67jQj9ytFfdMh7,12 PM,11 PM,☕☕,💪💪,🔌🔌🔌
